sample_id,question,context,answer,label,raw_score,calibrated_score,top5_shap_features,reviewer_1,reviewer_2,agreement,review_mode,review_note
q_8518_correct,"""Touch Too Much"" is the fourth track on an album by a band that hails from which country?","""Touch Too Much"" is the fourth track on AC/DC's 1979 album ""Highway to Hell"", their last with lead vocalist Bon Scott, who died the following year.Highway to Hell is an album by Australian hard rock band AC/DC, released on 27 July 1979.",Australia,0,0.80155766,0.93537944727136,"overlap_answer_context, n_words, nli_ctx_contradicts_ans, n_chars, jaccard_ans_ctx",implausible,implausible,yes,ai-expert,"Score 0.94 for a clearly grounded one-word answer; drivers are brevity (n_words, n_chars) and low overlap, not a genuine risk signal."
q_3061_correct,What sort of art did Herbert Abrams complete using the Chief of Staff of the United States Army from 1968 to 1972 as a subjecy?,"During his prolific career, he painted more than 400 portraits, including those of General William Westmoreland, playwright Arthur Miller and astronaut Edwin E. ""Buzz"" Aldrin Jr. He served as Chief of Staff of the United States Army from 1968 to 1972.",portrait,0,0.9134772,0.9751128006530908,"overlap_answer_context, n_words, n_chars, nli_ctx_contradicts_ans, nli_ctx_entails_ans",implausible,implausible,yes,ai-expert,Supported one-word answer scored 0.98; brevity/overlap shortcut again.
q_7742_correct,"What is is a United States federal statute enacted by the 111th United States Congress and signed into law by President Barack Obama, who at the time the Deputy White House Chief of Staff for Implementation for U.S. President Barack Obama made this one of her major projects?","Kristie Canegallo was the Deputy White House Chief of Staff for Implementation for U.S. President Barack Obama.The Patient Protection and Affordable Care Act, often shortened to the Affordable Care Act (ACA) or nicknamed Obamacare, is a United States federal statute enacted by the 111th United States Congress and signed into law by President Barack Obama on March 23, 2010.",The Patient Protection and Affordable Care Act,0,0.86116725,0.9609388814471044,"overlap_answer_context, n_words, n_chars, nli_ctx_neutral_ans, nli_ans_neutral_ctx",implausible,implausible,yes,ai-expert,"Answer is verbatim in the context yet scored 0.96; neutral-NLI and length features drive it, not evidence conflict."
q_1402_correct,Which chalet-style building was demolished when construction began on the seventh Disney Vacation Club resort?,"The Walt Disney World Conference Center was a chalet-style building that was designed for small and medium-sized business meetings. It was later demolished when construction began on the Disney's Saratoga Springs Resort & Spa, which now stands on the grounds of the former Institute. The resort is the seventh Disney Vacation Club resort and is situated on the former site of the Disney Institute.",Walt Disney World Conference Center,0,0.7594291,0.9086772434983608,"overlap_answer_context, n_words, nli_ctx_contradicts_ans, n_chars, nli_ans_neutral_ctx",implausible,implausible,yes,ai-expert,Answer directly supported; 0.91 risk contradicts the evidence.
q_8650_correct,"Which is the only national park located in Galicia, Spain: Timanfaya National Park or Atlantic Islands of Galicia National Park?","Timanfaya National Park (Spanish: ""Parque Nacional de Timanfaya"" ) is a Spanish national park in the southwestern part of the island of Lanzarote, Canary Islands.The Atlantic Islands of Galicia National Park (Galician: ""Parque Nacional das Illas Atlánticas de Galicia"" , Spanish: ""Parque Nacional de las Islas Atlánticas de Galicia"" ) is the only national park located in the autonomous community of Galicia, Spain.",Atlantic Islands of Galicia National Park,0,0.97904813,0.9859585820068598,"overlap_answer_context, n_words, n_chars, cosine_q_ans, jaccard_ans_q",implausible,implausible,yes,ai-expert,Answer matches the context sentence; 0.99 risk contradicts the evidence.
q_4156_correct,"The 2010 Insight Bowl was the 22nd edition, of the college football bowl game, played at Sun Devil Stadium in Tempe, Arizona on Tuesday, December 28, 2010, it featured which team that represented the University of Missouri, in the 2010 NCAA Division I FBS football season?",It featured the Missouri Tigers from the Big 12 Conference versus the Iowa Hawkeyes from the Big Ten Conference.The 2010 Missouri Tigers football team represented the University of Missouri in the 2010 NCAA Division I FBS football season.,2010 Missouri Tigers football team,0,0.5273048,0.5578187791166362,"overlap_answer_context, n_words, n_chars, overlap_answer_question, nli_ctx_contradicts_ans",implausible,unsure,no,ai-expert,"R1: grounded answer above the decision boundary (0.56). R2: score is marginal and features mostly show support, so the feature story is weak."
q_5922_correct,"Josefina Villamil Tinajero is a Mexican-American educator and author, she has worked as a professor of bilingual education at which public research university in El Paso, Texas, United States?","Tinajero has served as president of the National Association for Bilingual Education (NABE) and has worked as a professor of bilingual education at the University of Texas at El Paso (UTEP).The University of Texas at El Paso (UTEP) is a public research university in El Paso, Texas, United States.",University of Texas at El Paso (UTEP),0,0.63739955,0.770627609826304,"overlap_answer_context, n_words, n_chars, overlap_answer_question, nli_ctx_neutral_ans",implausible,implausible,yes,ai-expert,Supported answer scored 0.77; no feature indicates a real risk.
q_4329_correct,"What association football match between A.C. Milan of Italy and Liverpool F.C. of England, was part of the 2006–07 UEFA Champions League?","The 2006–07 UEFA Champions League was the 15th season of UEFA's premier European club football tournament, the UEFA Champions League, since it was rebranded from the European Cup, and the 52nd season overall. The final was contested by Milan and Liverpool on 23 May 2007.The 2007 UEFA Champions League Final was an association football match between A.C. Milan of Italy and Liverpool F.C. of England on 23 May 2007 at the Olympic Stadium, Athens, Greece.",2007 UEFA Champions League Final,0,0.77790135,0.9214304337536572,"overlap_answer_context, n_words, n_chars, nli_ctx_contradicts_ans, entity_overlap_ratio",implausible,implausible,yes,ai-expert,Supported answer scored 0.92; explanation not consistent with evidence.
q_7876_correct,Plutonium from the Hanford Site comes film which U.S. state?,This process was used to produce plutonium at the Hanford Site.The Hanford Site is a mostly decommissioned nuclear production complex operated by the United States federal government on the Columbia River in the U.S. state of Washington.,the U.S. state of Washington.,0,0.75634336,0.9063732715982424,"overlap_answer_context, n_words, n_chars, nli_ctx_contradicts_ans, nli_ctx_neutral_ans",implausible,implausible,yes,ai-expert,Answer is copied from the context; highest example of the brevity/overlap artifact (0.91).
q_4539_hallucinated,The Cincinnati Reds record holder for most stolen bases by a rookie in a season is a native of which city ?,"Taylorsville is a city located in Smith County, Mississippi. Athletes such as Tim Duckworth, Billy Hamilton, and Jason Campbell are among the city's natives. He also holds the Cincinnati Reds record for most stolen bases by a rookie in a season.",Jason Campbell holds the record.,1,0.20384967,0.066263309910947,"overlap_answer_context, n_words, n_chars, nli_ctx_neutral_ans, nli_ctx_contradicts_ans",implausible,implausible,yes,ai-expert,Wrong athlete named (record holder is Billy Hamilton); low score ignores the misattribution.
