sample_id,item_idx,question,context,answer,label,split,human_label_correct,human_confidence,reviewer,notes
q_5325_correct,5325,Are Prevention and Drum! both American magazines?,"Prevention is an American healthy lifestyle magazine, started in 1950, and published by Rodale Press in Emmaus, Pennsylvania, in the United States.DRUM!",yes,0,train,,,,
q_1020_hallucinated,1020,"The 2007 FIFA U-20 World Cup was the sixteenth edition of the FIFA U-20 World Cup (formerly called FIFA World Youth Championship), hosted by Canada held during which span of dates, Argentine player Sergio Agüero was given the FIFA U-20 Golden Shoe?","The 2007 FIFA U-20 World Cup was the sixteenth edition of the FIFA U-20 World Cup (formerly called FIFA World Youth Championship), hosted by Canada from 30 June to 22 July 2007.Sergio Leonel ""Kun"" Agüero (] ; born 2 June 1988) is an Argentine professional footballer who plays as a striker for Premier League club Manchester City and the Argentina national team.","The 2007 FIFA U-20 World Cup was held from 30 June to 22 July 2007, and Sergio Agüero was given the FIFA U-20 Golden Shoe on the first day.",1,test,,,,
q_4334_correct,4334,Which actor from the 2001 movie Kiss Kiss was the voice actor for J.A.R.V.I.S in Iron Man?,"It features Stellan Skarsgård, Chris Penn, and Paul Bettany. He is known for his voice role as J.A.R.V.I.S. and the Vision in the Marvel Cinematic Universe, specifically the films ""Iron Man"" (2008), ""Iron Man 2"" (2010), ""The Avengers"" (2012), ""Iron Man 3"" (2013), """" (2015) and """" (2016), for which he garnered praise.",Paul Bettany,0,train,,,,
q_557_correct,557,"WHo is a Grammy winning American musician of Armenian descent, Armen Nalbandian or Arto Tunçboyacıyan?","Armen Nalbandian (born April 6, 1978 in Manchester, England) is a jazz pianist, composer, author, and activist from Los Angeles, California, known for his multidisciplinary collaborations in visual and fine art.Arto Tunçboyacıyan (Armenian: Արտո Թունջբոյաջյան ) (born 4 August 1957 in Istanbul) is a Grammy winning American musician of Armenian descent.",Arto Tunçboyacıyan,0,train,,,,
q_6951_correct,6951,"Who is younger, Thomaz Koch or Sherwood Stewart?","Thomaz Koch (born May 11, 1945 in Porto Alegre), is a left-handed former tennis player from Brazil, who was a quarter-finalist at the French Open, Wimbledon and the U.S. National Championships.Sherwood Stewart (born June 6, 1946, in Goose Creek, Texas, United States) played amateur and professional tennis in the 1970s and 1980s.",Sherwood Stewart,0,test,,,,
q_5981_hallucinated,5981,"What Northern Irish comic stars in the 2017 film Jawbone with Johnny Harris, Ray Winstone, and Ian McShane?","The film stars Johnny Harris, Ray Winstone, Ian McShane, Michael Smiley, Luke J.I. Smith and Anna Wilson-Hall.Michael Smiley (born 1963) is a Northern Irish comic and actor who lives in London.","Northern Irish comic, Michael Smiley stars in the 2017 film Jawbone with an impressive cast.",1,train,,,,
q_5536_correct,5536,South Hadley High School became known for a series of bullying incidents that led to an event that led to the criminal prosecution of six teenagers for what charges?,"In January 2010, the school became known across the United States and internationally for a series of bullying incidents that led to the suicide of Phoebe Prince.The suicide of Phoebe Prince, on January 14, 2010, led to the criminal prosecution of six teenagers for charges including civil rights violations, as well as to the enactment of stricter anti-bullying legislation by the Massachusetts state legislature.",civil rights violations,0,train,,,,
q_1501_correct,1501,"""Yakety Sax"" composer Boots Randolph was part of what musical style group during most of his professional career?","""Yakety Sax"" is a pop jazz instrumental jointly composed by James Q. ""Spider"" Rich and Boots Randolph. Randolph was a major part of the ""Nashville sound"" for most of his professional career.","the ""Nashville sound""",0,val,,,,
q_9885_hallucinated,9885,What was the birthplace of a voice over actress whom Stephen Marley directed?,"In one game he designed on PlayStation, , he voice directed, among others, Fenella Fielding and Julie Peasgood.Julie May Peasgood (born 28 May 1956 in Cleethorpes, Lincolnshire) is an English actress, television presenter, author and voice over artist known for her distinctive voice.",Julie Peasgood was directed by Stephen Marley in Cleethorpes.,1,val,,,,
q_4057_hallucinated,4057,The person William Mein Smith worked as the Surveyor General for from 1840 to 1843 was born on what date?,"As the Surveyor General for Edward Wakefield's New Zealand Company at Port Nicholson from 1840 to 1843, he and his team surveyed the town of Wellington, after finding the land on the Petone foreshore unsuitable, laying out the town belt and other features and making provision for the much debated ""tenth"" share of the land for local Māori.Edward Gibbon Wakefield (20 March 1796 – 16 May 1862) was a British politician.",William Mein Smith was not involved in Edward Gibbon Wakefield's survey work.,1,train,,,,
